address;pD223_or_wrapped
0xc9bea9379a8fade01240ee583535fac713b71014;2500;
0x3b244a2c08ede0008cf745977d3752573f6aec36;7500;
0xf1602175601606e8ffee38ce433a4db4c6cf5d60;140;
0xa3696ed6d6a9643a75e0bafb05c586666706e533;50;
0x3264fb22a50ecadc6dfd0f0e1938a0eef965c491;30;
0x1edbddb7e4a6d3d03d9dc98cf2f100c01df6069a;7.5;
0xa91646b8e2bc5496a443e571518e275b1f364c80;930999;
0x06e6fe5f3ce41ee7f4c808d903fb82fc54dd3662;1952425;
0xd88311c19c56464707fe035856864d9a3367066b;800000;
0x0314c7fbf0bd957f65925ba49a868ef9029c24f1;650787.353121301;
0x78ce3800067d3797b861581fd525042ab51b919c;1030083.99072459;
0xaeb3a1dbcc190ab138f39dd1a29c6ce3a3fd7f5d;249999;
0x4fd7416c1eb8a1662641f4f9f250484be260f422;60450;
0xae01bed09c6359b1d04ca120d629e6740fb647d0;300322.25;
0xa3452652bf020e9ecb615ce6dcd73defbba84794;214950.737082513;
0x1525383d5bc737c65fe06350052328a2a92d0326;1313997.75;
0xb447c121d6928d7f8d296db56696194a607fafd6;500;
0x8a9e9caacfa54cbeab14000808bca63174295ad8;49500;
0xc8cecf982cf721c5bbf3892ba537852382fc7ca4;17701929.130446;
0x74b9e1446dc871d758fea109ffc973e9d5763f09;2025000;
0x4a27cb133ad44ba1adcdb3cd69872b2469882b5f;227325;
0x864bb63102e7a488e753a7871aced54ce1fc6dfb;912927.500001594;
0xa9a530742c8245b797edb43e8a92ea8948664abd;1093000;
0x57ffb07825f23829c9c7a5be1e294fd199151eff;25000;
0xb914c436e5536c99c9f4d76a45dd20e78bd6d165;13755000;
0x0661ae04f5298b1a701aabf3d1bdb5490bb49f62;500000;
0xfb9abc066c18cb9d94291a165d59a44575f107d4;1;
0xc7d98c4c919e93ed44755718e27b53791e7f3521;1451.28188033479;
0x9de7c61a4d206bb07da349e67e32b49d5d3390c4;23885.91385;
0x6264011f771aa030d46a42bbf5dd046dd03271f0;5492353.16099702;
0xc5522ee944af85e8b2213a84e4c9956f9f818d68;1432250;
0x40d5d0401f34f8b05ffd6b498636f86399b6ca56;3145000;
0x6aee0e39fd74ebae5e375877e45fb55f827626f0;647175;
0xe5c7ad1142855c5dcf4e0363edfb3869c5349f10;1022500;
0xac7c0b76b3e662bae421efb839ae714a54691f0c;156250;
0x708c2a68f2dce79f6c82c501d1fa29e253f97e3f;400;
0xec1465ee9aba2890cc73928816095f1fb40fc699;575726.75;
0x7668653bf183f2e7fedeb12e1f92f5a04fcd91ba;1250000;
0xcbd36532cad6e0a58cfd0aabe2774a61fee20e0f;131250;
0x4c37e7b653b635a538102ad5bd8e693bb70782d4;1004750;
0xeb048a5799172e32d43eea511014365ae7e795fa;205000;
0xc514970e7552fc422d9dfc49559bad6dcc55c6b3;59625;
0x57d1c478c201733a9d0d833349d436a72ae89a57;125000;
0x0e680004057a9ae5fc0a05759c2e2cc3e3391111;440000;
0xaaeac84b540aa074325706837500543a0992249a;23975;
0xb436c7f821934b1e2eb90f8850f69e53d0e901bc;63172.4314761814;
0x717a837fe9e3201dab2fb3644bb70955e7f5e470;375000;
0x91084b534ecf16391fb9eb76ab59943d60b24b8d;850000;
0xe1a90c1afa225389e83b635fa56373be45518f6e;1250000;
0x5b48eb93103e18569ca611a850420efd4c1c0fd5;249750;
0x520736e0e82c966c94b6dbdb577933e3bc195d67;250000;
0x6b93123c0118a562c49a9a32a240c809a06ba9a2;72793.7517928002;
